cidade_norm,lat,lng
Agua Branca,-9.2625,-37.9364
Anadia,-9.6844,-36.3044
Arapiraca,-9.7547,-36.6614
Atalaia,-9.5019,-36.0228
Barra de Santo Antonio,-9.4044,-35.5075
Barra de Sao Miguel,-9.8394,-35.9075
Batalha,-9.6778,-37.1247
Belem,-9.5708,-36.4917
Belo Monte,-9.8272,-37.2794
Boca da Mata,-9.645,-36.22
Branquinha,-9.2453,-36.015
Cacimbinhas,-9.4,-36.99
Cajueiro,-9.3964,-36.1536
Campestre,-8.8458,-35.5678
Campo Alegre,-9.7814,-36.3525
Campo Grande,-9.9572,-36.7925
Canapi,-9.1192,-37.6047
Capela,-9.4075,-36.0736
Carneiros,-9.4808,-37.3772
Cha Preta,-9.255,-36.2967
Coite do Noia,-9.6336,-36.5786
Colonia Leopoldina,-8.9181,-35.725
Coqueiro Seco,-9.6381,-35.7992
Coruripe,-10.1256,-36.1756
Craibas,-9.6178,-36.7714
Delmiro Gouveia,-9.3853,-37.9967
Dois Riachos,-9.3925,-37.1006
Estrela de Alagoas,-9.3894,-36.7597
Feira Grande,-9.9006,-36.6775
Feliz Deserto,-10.2925,-36.3036
Flexeiras,-9.2728,-35.7244
Girau do Ponciano,-9.8844,-36.8294
Ibateguara,-8.9722,-35.9375
Igaci,-9.5364,-36.6336
Igreja Nova,-10.1253,-36.6617
Inhapi,-9.2214,-37.7481
Jacare dos Homens,-9.6353,-37.205
Jacuipe,-8.9353,-35.4594
Japaratinga,-9.0883,-35.2581
Jaramataia,-9.6581,-37.0044
Jequia da Praia,-9.9075,-35.9994
Joaquim Gomes,-9.1331,-35.7483
Jundia,-9.9344,-35.5736
Junqueiro,-9.9253,-36.4756
Lagoa da Canoa,-9.83,-36.7411
Limoeiro de Anadia,-9.7408,-36.5036
Maceio,-9.6498,-35.7089
Major Isidoro,-9.5322,-36.9847
Mar Vermelho,-9.4472,-36.3886
Maragogi,-9.0122,-35.2225
Maravilha,-9.2347,-37.3494
Marechal Deodoro,-9.71,-35.895
Maribondo,-9.5772,-36.3044
Mata Grande,-9.1181,-37.7322
Matriz de Camaragibe,-9.1511,-35.5333
Messias,-9.3825,-35.8417
Minador do Negrao,-9.3056,-36.8644
Monteireopolis,-9.6022,-37.2481
Murici,-9.3067,-35.9433
Novo Lino,-9.0614,-35.6469
Olho d Agua das Flores,-9.5331,-37.2936
Olho d Agua do Casado,-9.5036,-37.83
Olho d Agua Grande,-10.0581,-36.81
Olivenca,-9.5186,-37.1906
Ouro Branco,-9.1667,-37.3564
Palestina,-9.6742,-37.3294
Palmeira dos Indios,-9.4072,-36.6275
Pao de Acucar,-9.7481,-37.4364
Pariconha,-9.2564,-37.9981
Paripueira,-9.465,-35.5519
Passo de Camaragibe,-9.2381,-35.4914
Paulo Jacinto,-9.3719,-36.3697
Penedo,-10.2903,-36.5864
Piacabucu,-10.4075,-36.4336
Pilar,-9.5972,-35.9567
Pindoba,-9.4739,-36.29
Piranhas,-9.6236,-37.7567
Poco das Trincheiras,-9.3122,-37.2856
Poco Redondo,-9.8064,-37.685
Poco Verde,-9.4661,-37.7853
Porto Calvo,-9.0453,-35.3989
Porto de Pedras,-9.1581,-35.295
Porto Real do Colegio,-10.1719,-36.83
Quebrangulo,-9.3189,-36.4711
Rio Largo,-9.4783,-35.8533
Roteiro,-9.835,-35.9775
Santa Luzia do Norte,-9.6022,-35.8231
Santana do Ipanema,-9.3772,-37.245
Santana do Mundau,-9.1681,-36.2217
Sao Bras,-10.1294,-36.9017
Sao Jose da Laje,-9.0094,-36.0567
Sao Jose da Tapera,-9.5575,-37.3811
Sao Luis do Quitunde,-9.3172,-35.5614
Sao Miguel dos Campos,-9.7808,-36.09
Sao Miguel dos Milagres,-9.2656,-35.37
Sao Sebastiao,-9.9306,-36.5542
Satuba,-9.5711,-35.8236
Senador Rui Palmeira,-9.4694,-37.4575
Tanque d Arca,-9.5319,-36.4325
Taquarana,-9.645,-36.4967
Teotonio Vilela,-9.9164,-36.3553
Traipu,-9.9706,-37.0031
Uniao dos Palmares,-9.1628,-36.0319
Vicosa,-9.3714,-36.2408
