bairro,populacao_2022
CIDADE UNIVERSITARIA,118017
BENEDITO BENTES,110746
JACINTINHO,73139
TABULEIRO DO MARTINS,61194
CLIMA BOM,50386
JATIUCA,42466
PONTA VERDE,28591
FEITOSA,26786
SERRARIA,26590
VERGEL DO LAGO,26562
PETROPOLIS,26273
ANTARES,25454
SANTA LUCIA,24172
TRAPICHE DA BARRA,23041
SANTOS DUMONT,21185
POCO,19504
PONTA GROSSA,18381
FAROL,17789
GRUTA DE LOURDES,15160
PRADO,14884
BARRO DURO,14389
CHA DA JAQUEIRA,13964
CRUZ DAS ALMAS,12104
SAO JORGE,12080
SANTA AMELIA,11432
JACARECICA,9660
LEVADA,9554
CHA DE BEBEDOURO,8632
IPIOCA,8116
RIO NOVO,8012
BOM PARTO,8010
PONTA DA TERRA,7167
OURO PRETO,6247
RIACHO DOCE,5833
FERNAO VELHO,5392
PINHEIRO,5369
JARDIM PETROPOLIS,5011
CANAA,4929
MANGABEIRAS,4555
PITANGUINHA,4261
GUAXUMA,3606
PAJUCARA,3542
PONTAL DA BARRA,3343
PESCARIA,2579
CENTRO,2012
GARCA TORTA,1890
JARAGUA,1502
SANTO AMARO,1383
BEBEDOURO,1128
MUTANGE,0
